belongs_to_collection,cantidad_peliculas,ganancia_total,promedio_ganancia
... Has Fallen Collection,2,366780087.0,183390043.5
101 Dalmatians (Animated) Collection,1,215880014.0,215880014.0
101 Dalmatians (Live-Action) Collection,2,504301065.0,252150532.5
12 Rounds Collection,1,17280326.0,17280326.0
2 Days In... Collection,2,21429951.0,10714975.5
20th Century Boys Collection,1,31244858.0,31244858.0
28 Days/Weeks Later Collection,2,146958325.0,73479162.5
3 Men (Original) Collection,1,2052466.0,2052466.0
30 Days of Night Collection,1,75505973.0,75505973.0
300 Collection,2,760190470.0,380095235.0
48 Hrs. Collection,2,232387482.0,116193741.0
8MM Collection,1,96618699.0,96618699.0
976-EVIL Collection,1,2955917.0,2955917.0
9½ Weeks Collection,1,6735922.0,6735922.0
A Better Tomorrow Collection,1,4469460.0,4469460.0
A Christmas Story Collection,1,19294144.0,19294144.0
A Few Best Men Collection,2,29131311.0,14565655.5
A Goofy Movie Collection,1,35348597.0,35348597.0
A Haunted House Collection,1,60141683.0,60141683.0
A Nightmare on Elm Street Collection,8,363591558.0,45448944.75
ABCD Collection,1,222000.0,222000.0
AVP Collection,2,212980929.0,106490464.5
Aashiqui Collection,1,16000000.0,16000000.0
Ace Ventura Collection,2,319602929.0,159801464.5
Addams Family Collection,2,240421469.0,120210734.5
Agent Cody Banks Collection,2,87614809.0,43807404.5
Air Bud Collection,2,33368615.0,16684307.5
Airplane Collection,2,110604073.0,55302036.5
Airport Collection,4,190504839.0,47626209.75
Aki Kaurismäki's Finland trilogy,1,1615018.0,1615018.0
Aladdin Collection,1,504050219.0,504050219.0
Alex Cross Collection,3,196059666.0,65353222.0
Alice in Wonderland Collection,2,1324861194.0,662430597.0
Alien Collection,4,610021801.0,152505450.25
Alien Nation Collection,1,32155047.0,32155047.0
All Dogs Go to Heaven Collection,2,35720705.0,17860352.5
Allan Quatermain Collection,1,238227.0,238227.0
Almighty Collection,2,657572835.0,328786417.5
Alone in the Dark Collection,1,10442808.0,10442808.0
Alpha and Omega Collection,1,39300000.0,39300000.0
Alvin and the Chipmunks Collection,4,1380957626.0,345239406.5
Always: Sunset on Third Street Collection,1,33053559.0,33053559.0
American Graffiti Collection,2,155014674.0,77507337.0
American Ninja Collection,1,10499694.0,10499694.0
American Pie Collection,4,989475386.0,247368846.5
American Psycho Collection,1,34266564.0,34266564.0
Anaconda Collection,2,207878665.0,103939332.5
Analyze Collection,2,231888793.0,115944396.5
Anchorman Collection,2,264223203.0,132111601.5
Anglo-Zulu War Collection,1,8000000.0,8000000.0
Annabelle Collection,1,255273813.0,255273813.0
Annie Collection,1,57059003.0,57059003.0
Another Gay Movie Collection,1,745327.0,745327.0
Ant-Man Collection,1,519311965.0,519311965.0
Appleseed Collection,1,1461989.0,1461989.0
Arthur Collection,2,110142874.0,55071437.0
Arthur and the Invisibles Collection,1,107944236.0,107944236.0
Asterix and Obelix Collection,3,245671613.0,81890537.66666667
Atlantis Collection,1,186053725.0,186053725.0
Atlas Shrugged Collection,2,5474079.0,2737039.5
Austin Powers Collection,3,675279506.0,225093168.66666666
Avatar Collection,1,2787965087.0,2787965087.0
Babe Collection,2,323266770.0,161633385.0
Bachelor Party Collection,1,38435947.0,38435947.0
Back to the Future Collection,3,957637345.0,319212448.3333333
Bad Boys Collection,2,414746580.0,207373290.0
Bad Santa Collection,2,94271067.0,47135533.5
Bahubali Collection,2,330000000.0,165000000.0
Balto Collection,1,11348324.0,11348324.0
Bambi Collection,1,267447150.0,267447150.0
Barbershop Collection,3,195882105.0,65294035.0
Barbie A Mermaid Tale Collection,2,31930745.0,15965372.5
Basic Instinct Collection,2,391556702.0,195778351.0
Batman (DC Universe Animated) Collection,1,5617391.0,5617391.0
Batman Collection,4,1266085190.0,316521297.5
Bats Collection,1,10.0,10.0
Battle Royale Collection,1,25000000.0,25000000.0
Beastmaster Collection,2,14925853.0,7462926.5
Beauty and the Beast Collection,1,377350553.0,377350553.0
Beethoven Collection,2,265457115.0,132728557.5
Before... Collection,3,32704489.0,10901496.333333334
Behind Enemy Lines Collection,1,91753202.0,91753202.0
Benvenuti al... Collection,2,100584679.0,50292339.5
Best Exotic Marigold Hotel Collection,2,222814422.0,111407211.0
Best of the Best Collection,1,6500000.0,6500000.0
Beverly Hills Chihuahua Collection,2,161281606.0,80640803.0
Beverly Hills Cop Collection,3,735534503.0,245178167.66666666
Big Momma's House Collection,3,395833914.0,131944638.0
Bill & Ted's Most Excellent Collection,1,40485039.0,40485039.0
Billy Jack Collection,1,36000000.0,36000000.0
Blade Collection,3,415098928.0,138366309.33333334
Blade Runner Collection,1,33139618.0,33139618.0
Blair Witch Collection,2,293172994.0,146586497.0
BloodRayne Collection,1,2405420.0,2405420.0
Bloodsport Collection,2,12490470.0,6245235.0
Blue Collar Comedy Tour Collection,1,604856.0,604856.0
Blue Crush Collection,1,51842679.0,51842679.0
Bon Cop Bad Cop Collection,1,12671300.0,12671300.0
Borsalino Collection,1,3.0,3.0
Brancaleone Collection,1,1314230.0,1314230.0
Bridget Jones Collection,3,534085235.0,178028411.66666666
Bring It On Collection,1,90449929.0,90449929.0
Brooklyn Cigar Store Collection,2,9624430.0,4812215.0
Bummer Collection,1,1600000.0,1600000.0
Burnt by the Sun Trilogy,1,2616503.0,2616503.0
C.H.U.D. Collection,1,3412497.0,3412497.0
Caddyshack Collection,1,39846344.0,39846344.0
Candyman Collection,2,39732693.0,19866346.5
Cannonball Run Collection,3,103335013.0,34445004.333333336
Captain America Collection,3,2238640841.0,746213613.6666666
Captain Harlock Collection,1,17137302.0,17137302.0
Care Bears Collection,1,2608000.0,2608000.0
Carnosaur Collection,1,1753979.0,1753979.0
Carrie Collection,2,51562705.0,25781352.5
Cars Collection,3,1372005602.0,457335200.6666667
Casper Collection,1,287928194.0,287928194.0
Cat People Collection,1,4000000.0,4000000.0
Cats & Dogs Collection,2,205858915.0,102929457.5
Center Stage Collection,1,17200925.0,17200925.0
Cetto La Qualunque - Collezione,1,8927600.0,8927600.0
Charlie's Angels Collection,2,523281333.0,261640666.5
Cheaper by the Dozen Collection,2,319393943.0,159696971.5
Cheech & Chong Collection,4,119943461.0,29985865.25
Child's Play Collection,5,176022038.0,35204407.6
Children of the Corn Collection,2,20980986.0,10490493.0
Chili Palmer Collection,2,210327738.0,105163869.0
Cinderella Collection,1,263591415.0,263591415.0
Cinderella Story Collection,1,70067909.0,70067909.0
Cirque du Soleil Collection,1,34153101.0,34153101.0
City Slickers Collection,1,179033791.0,179033791.0
Clash of the Titans Collection,2,533713139.0,266856569.5
Class of 1999 Collection,1,2459895.0,2459895.0
Clerks Collection,2,30039506.0,15019753.0
Clint Eastwood's Iwo Jima Collection,2,134573477.0,67286738.5
Cloudy with a Chance of Meatballs Collection,2,491373087.0,245686543.5
Cocaine Cowboys,1,163000.0,163000.0
Cocoon Collection,2,110338043.0,55169021.5
Conan the Barbarian Collection,3,186062718.0,62020906.0
Constantine Collection,1,230884728.0,230884728.0
Cowgirls n' Angels Collection,1,120680.0,120680.0
Crank Collection,2,77491618.0,38745809.0
Creature From The Black Lagoon (Universal Series),1,1300000.0,1300000.0
Creepshow Collection,2,35028755.0,17514377.5
Critters Collection,2,16980525.0,8490262.5
Crocodile Dundee Collection,3,607248390.0,202416130.0
"Crouching Tiger, Hidden Dragon Collection",1,213525736.0,213525736.0
Cruel Intentions Collection,1,75902208.0,75902208.0
Cube Collection,1,501818.0,501818.0
Curious George Collection,1,69834815.0,69834815.0
Cyborg Collection,1,10166459.0,10166459.0
Daddy Day Camp Collection,2,182631265.0,91315632.5
Daddy's Home Collection,1,242786137.0,242786137.0
Dark Planet Collection,2,27708716.0,13854358.0
Dark World Collection,1,2118871.0,2118871.0
Darkman Collection,1,48878502.0,48878502.0
Darko Collection,2,5370522.0,2685261.0
Dead Snow Collection,2,2022135.0,1011067.5
Deadpool Collection,1,783112979.0,783112979.0
Death Note Collection,3,108734800.0,36244933.333333336
Death Race Collection,1,73762516.0,73762516.0
Death Race Original Collection,1,8000000.0,8000000.0
Death Wish Collection,4,85647565.0,21411891.25
Deathstalker Collection,1,8890685.0,8890685.0
Demetrius Filmreihe,1,36000000.0,36000000.0
Dennis the Menace Collection,1,117270765.0,117270765.0
Department Q series,1,5900000.0,5900000.0
Despicable Me Collection,4,3691070216.0,922767554.0
Detective Dee Collection,2,124011068.0,62005534.0
Deuce Bigalow Collection,2,87935221.0,43967610.5
Dhoom Series,3,149396427.0,49798809.0
Diary of a Wimpy Kid Collection,4,265350212.0,66337553.0
Die Hard Collection,5,1435086362.0,287017272.4
Dirty Dancing Collection,2,241639290.0,120819645.0
Dirty Harry Collection,4,189622693.0,47405673.25
Disneys Große Pause,1,44460850.0,44460850.0
District 13 Collection,2,18370506.0,9185253.0
Divergent Collection,3,763232964.0,254410988.0
Django - Original films,1,17277.0,17277.0
Dolphin Tale Collection,2,147828930.0,73914465.0
Doraemon Collection,1,83061158.0,83061158.0
Dorm Daze Collection,1,263941.0,263941.0
Dr. Dolittle Collection,2,470560949.0,235280474.5
Dracula (Hammer Series),2,909413.0,454706.5
Dracula (Universal Series),1,1012189.0,1012189.0
Dracula 2000 Collection,1,33000337.0,33000337.0
Dragon Ball Z (Movie) Collection,2,112121192.0,56060596.0
DragonHeart Collection,1,115267375.0,115267375.0
Dumb and Dumber Collection,3,456379899.0,152126633.0
Dungeons & Dragons Collection,1,15185241.0,15185241.0
East is East Collection,2,32067000.0,16033500.0
Eddie and the Cruisers Collection,1,4786789.0,4786789.0
El pico - Colección,2,2264522.0,1132261.0
Elektra Luxx Collection,2,18107.0,9053.5
Elements Trilogy,3,11452892.0,3817630.6666666665
Elite Squad Collection,1,63027681.0,63027681.0
Elizabeth Collection,2,156388205.0,78194102.5
Elvira Collection,1,5596267.0,5596267.0
Encounters of the Spooky Kind Collection,1,731753.0,731753.0
Enter the Ninja Collection,1,13168027.0,13168027.0
Erkan & Stefan Filmreihe,1,4508104.0,4508104.0
Ernest Collection,2,51711491.0,25855745.5
Escape From ... Collection,2,92522065.0,46261032.5
Evangelion Collection,1,20000000.0,20000000.0
Evil Dead Collection,2,35323044.0,17661522.0
Eye of the Dolphin Collection,1,71904.0,71904.0
"F*ck You, Goethe Collection",1,83027924.0,83027924.0
F.C. De Kampioenen Collectie,1,7471304.0,7471304.0
F/X Collection,1,20603715.0,20603715.0
Fanny Brice Collection,1,52223306.0,52223306.0
Fantasia Collection,2,174194570.0,87097285.0
Fantastic Beasts Collection,1,809342332.0,809342332.0
Fantastic Four Collection,2,619627482.0,309813741.0
Father of the Bride Collection,2,165904691.0,82952345.5
Feast Collection,1,658573.0,658573.0
FernGully Collection,1,32710894.0,32710894.0
Fievel Collection,2,125308043.0,62654021.5
Fifty Shades Collection,2,949833622.0,474916811.0
Final Destination Collection,5,605502659.0,121100531.8
Final Fantasy Collection,2,85401810.0,42700905.0
Finding Nemo Collection,2,1968906425.0,984453212.5
Firestarter Collection,1,17080167.0,17080167.0
Fist of the North Star: The Legends of the True Savior,1,862.0,862.0
Fletch Collection,2,94763848.0,47381924.0
Fortress Collection,1,6739141.0,6739141.0
Frankenstein (Universal Series),1,12000000.0,12000000.0
Free Willy Collection,1,153698625.0,153698625.0
French Connection Collection,2,53643201.0,26821600.5
Friday Collection,3,121570081.0,40523360.333333336
Friday the 13th Collection,12,464898544.0,38741545.333333336
Fright Night (Reboot) Collection,1,24922237.0,24922237.0
Fright Night Collection,2,27906021.0,13953010.5
From Dusk Till Dawn Collection,1,25836616.0,25836616.0
Frozen Collection,1,1274219009.0,1274219009.0
Fullmetal Alchemist Collection,1,7401480.0,7401480.0
G.I. Joe (Live-Action) Collection,2,674345295.0,337172647.5
Gangs of Wasseypur Collection,1,4100000.0,4100000.0
Garfield Collection,2,342506798.0,171253399.0
Ghost Rider Collection,2,377955748.0,188977874.0
Ghost in the Shell Collection,2,12077365.0,6038682.5
Ghost in the Shell: Arise,1,101203.0,101203.0
Ghostbusters Collection,3,739754714.0,246584904.66666666
Ghoulies Collection,1,35000000.0,35000000.0
Goal! Collection,1,27610873.0,27610873.0
God of Gamblers Collection,1,4762337.0,4762337.0
God's Not Dead Collection,2,53296567.0,26648283.5
Godzilla (Heisei) Collection,1,4100000.0,4100000.0
Godzilla (Millennium) Collection,1,10037390.0,10037390.0
Goon Collection,1,6483963.0,6483963.0
Grease Collection,2,196985246.0,98492623.0
Green Street Hooligans Collection,1,3154346.0,3154346.0
Grindhouse Collection,1,25037897.0,25037897.0
Grown Ups Collection,2,518414467.0,259207233.5
Guardians of the Galaxy Collection,2,1636744770.0,818372385.0
Halloween (Rob Zombie Series) Collection,2,119675375.0,59837687.5
Halloween Collection,8,247168056.0,30896007.0
Hamilton Collection,1,3142763.0,3142763.0
Happily N'Ever After Collection,1,38085778.0,38085778.0
Happy Feet Collection,2,534742074.0,267371037.0
Hard Target Collection,1,74189677.0,74189677.0
Harold & Kumar Collection,3,102817243.0,34272414.333333336
Harry Potter Collection,8,7707367425.0,963420928.125
Hatchet Collection,1,52604.0,52604.0
Heart of Gold Collection,3,43842412.0,14614137.333333334
Hellboy Collection,2,259707050.0,129853525.0
Hellraiser Collection,4,55864723.0,13966180.75
Henry Fool Collection,1,1334786.0,1334786.0
Herbie Collection,1,66002004.0,66002004.0
Hercules (Lou Ferrigno) Collection,1,10676194.0,10676194.0
High School Musical Collection,1,7000000.0,7000000.0
Highlander Collection,4,74099948.0,18524987.0
Hitman Collection,2,181933203.0,90966601.5
Hollow Man Collection,1,190213455.0,190213455.0
Home Alone Collection,3,914758871.0,304919623.6666667
Homeward Bound Collection,1,32709423.0,32709423.0
Honey Collection,1,62646763.0,62646763.0
"Honey, I Shrunk the Kids Collection",2,281386624.0,140693312.0
Hoodwinked! Collection,2,64575616.0,32287808.0
Hooked Collection,2,5998765.0,2999382.5
Horrible Bosses Collection,2,224670357.0,112335178.5
Hostel Collection,2,116198455.0,58099227.5
Hot Shots! Collection,2,314848989.0,157424494.5
Hot Tub Time Machine Collection,2,76886913.0,38443456.5
Hotel Transylvania Collection,2,831602561.0,415801280.5
House Collection,2,9538897.0,4769448.5
House Party Collection,1,26386000.0,26386000.0
House of 1000 Corpses Collection,1,16829545.0,16829545.0
House of the Dead Collection,1,13818181.0,13818181.0
House on Haunted Hill Collection,1,40846082.0,40846082.0
How to Train Your Dragon Collection,2,1104001807.0,552000903.5
I Know What You Did Last Summer Collection,2,165588246.0,82794123.0
I Spit on Your Grave Collection,2,573618.0,286809.0
Ice Age Collection,5,3216708553.0,643341710.6
Independence Day Collection,2,1206651203.0,603325601.5
Indiana Jones Collection,4,1983733810.0,495933452.5
Infernal Affairs Collection,1,8708932.0,8708932.0
Insidious Collection,2,201313001.0,100656500.5
Into the Blue Collection,1,44434439.0,44434439.0
Ip Man Collection,3,214733351.0,71577783.66666667
Iron Man Collection,3,2424547547.0,808182515.6666666
Iron Sky Collection,1,8135031.0,8135031.0
Ivan Tsarevich & the Grey Wolf Collection,2,27724000.0,13862000.0
Jack Reacher Collection,2,380486671.0,190243335.5
Jackass Collection,4,406116832.0,101529208.0
James Bond Collection,26,7106970239.0,273345009.1923077
Jarhead Collection,1,96889998.0,96889998.0
Jeepers Creepers Collection,2,122320455.0,61160227.5
Jingle All the Way Collection,1,129832389.0,129832389.0
Joe Dirt Collection,1,30987695.0,30987695.0
John Wick Collection,2,260301548.0,130150774.0
Johnny English Collection,2,320661604.0,160330802.0
Journey Collection,2,457394820.0,228697410.0
Joy Ride Collection,1,36642838.0,36642838.0
Jump Street Collection,2,390026942.0,195013471.0
Jurassic Park Collection,4,3031484143.0,757871035.75
Justice League (Animated) Collection,1,5155325.0,5155325.0
K-9 Collection,1,78247647.0,78247647.0
Keinohrhasen Filmreihe,2,130023447.0,65011723.5
Kick-Ass Collection,2,156888903.0,78444451.5
Kickboxer Collection,2,15947717.0,7973858.5
Kidulthood Collection,1,165000.0,165000.0
Kill Bill Collection,2,333108461.0,166554230.5
Kindergarten Cop Collection,1,201957688.0,201957688.0
King Kong (1933 series),1,10000000.0,10000000.0
King Kong (1976 series),2,95325665.0,47662832.5
Kingsman Collection,1,414351546.0,414351546.0
Kokowääh Filmreihe,1,43000000.0,43000000.0
Korengal Valley Documentaries,1,1422910.0,1422910.0
Kung Fu Panda Collection,3,1818607666.0,606202555.3333334
Kvartet I Collection,4,39409191.0,9852297.75
L'allenatore nel pallone - Collezione,1,10743767.0,10743767.0
La cage aux folles,2,27374384.0,13687192.0
Lady and the Tramp Collection,1,93600000.0,93600000.0
Lake Placid Collection,1,56870414.0,56870414.0
Legally Blonde Collection,2,266689521.0,133344760.5
Leprechaun Collection (Original Series),2,10817562.0,5408781.0
Lethal Weapon Collection,4,955237243.0,238809310.75
Lew Harper Collection,1,12000000.0,12000000.0
Lilo & Stitch Collection,1,145771527.0,145771527.0
Living Dead Collection,5,171135460.0,34227092.0
Look Who's Talking Collection,1,296000000.0,296000000.0
Los Leguineche - Colección,1,1622164.0,1622164.0
Lost Boys Collection,1,32222567.0,32222567.0
Love in the City Collection,2,19310550.0,9655275.0
Lovey-Dovey Collection,1,17850711.0,17850711.0
Machete Collection,2,46336060.0,23168030.0
Mad Max Collection,4,539689391.0,134922347.75
Madagascar Collection,4,2257054393.0,564263598.25
Magic Mike Collection,2,289734628.0,144867314.0
Major Korenev Trilogy,3,5166340.0,1722113.3333333333
Major League Collection,3,83995773.0,27998591.0
Mall Cop Collection,2,290890373.0,145445186.5
Mamma Mia! Collection,1,609841637.0,609841637.0
Man of Steel Collection,2,1536105712.0,768052856.0
Mannequin Collection,2,46473622.0,23236811.0
Marley & Me Collection,1,244082376.0,244082376.0
Masti Collection,1,47000000.0,47000000.0
Max (Collection),1,43967255.0,43967255.0
McHale's Navy Collection,1,4529843.0,4529843.0
Mean Girls Collection,1,129042871.0,129042871.0
Mechanic Collection,2,176800442.0,88400221.0
Meet the Parents Collection,3,1157737569.0,385912523.0
Men In Black Collection,3,1655236118.0,551745372.6666666
Mexico Trilogy,3,125631947.0,41877315.666666664
Mimic Collection,1,25480490.0,25480490.0
Mirrors Collection,1,72436439.0,72436439.0
Miss Congeniality Collection,1,212000000.0,212000000.0
Missing in Action Collection,3,39761759.0,13253919.666666666
Mission: Impossible Collection,5,2778977995.0,555795599.0
Mommies Collection,1,11666088.0,11666088.0
Monsters Collection,1,4242978.0,4242978.0
"Monsters, Inc. Collection",2,1306375863.0,653187931.5
Mortal Kombat Collection,2,173572781.0,86786390.5
Mr. Bean Collection,2,480949014.0,240474507.0
Mulan Collection,1,304320254.0,304320254.0
My Big Fat Greek Wedding Collection,2,457667295.0,228833647.5
My Bloody Valentine Collection,1,100734718.0,100734718.0
Naked Gun Collection,3,216819186.0,72273062.0
Nanny McPhee Collection,2,215736210.0,107868105.0
